Row ID,Geography ID,Name,Variable Code,Variable,Value,Variable Unit,Date,Location
19003_1999_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,105034,Thousands of dollars,12/31/1999,POINT (-94.696906 41.021656)
19003_2000_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,120584,Thousands of dollars,12/31/2000,POINT (-94.696906 41.021656)
19003_2001_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,114871,Thousands of dollars,12/31/2001,POINT (-94.696906 41.021656)
19003_2002_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,119546,Thousands of dollars,12/31/2002,POINT (-94.696906 41.021656)
19003_2003_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,114009,Thousands of dollars,12/31/2003,POINT (-94.696906 41.021656)
19003_2004_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,135268,Thousands of dollars,12/31/2004,POINT (-94.696906 41.021656)
19003_2005_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,124704,Thousands of dollars,12/31/2005,POINT (-94.696906 41.021656)
19003_2006_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,117867,Thousands of dollars,12/31/2006,POINT (-94.696906 41.021656)
19003_2007_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,129364,Thousands of dollars,12/31/2007,POINT (-94.696906 41.021656)
19003_2008_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,153424,Thousands of dollars,12/31/2008,POINT (-94.696906 41.021656)
19003_2009_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,147920,Thousands of dollars,12/31/2009,POINT (-94.696906 41.021656)
19003_2010_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,149723,Thousands of dollars,12/31/2010,POINT (-94.696906 41.021656)
19003_2011_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,191707,Thousands of dollars,12/31/2011,POINT (-94.696906 41.021656)
19003_2012_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,190440,Thousands of dollars,12/31/2012,POINT (-94.696906 41.021656)
19003_2013_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,224192,Thousands of dollars,12/31/2013,POINT (-94.696906 41.021656)
19003_2014_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,247440,Thousands of dollars,12/31/2014,POINT (-94.696906 41.021656)
19003_2015_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,264321,Thousands of dollars,12/31/2015,POINT (-94.696906 41.021656)
19003_2016_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,238428,Thousands of dollars,12/31/2016,POINT (-94.696906 41.021656)
19003_2017_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,221337,Thousands of dollars,12/31/2017,POINT (-94.696906 41.021656)
19005_1997_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,289548,Thousands of dollars,12/31/1997,POINT (-91.382751 43.274964)
19005_1998_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,307704,Thousands of dollars,12/31/1998,POINT (-91.382751 43.274964)
19005_1999_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,311337,Thousands of dollars,12/31/1999,POINT (-91.382751 43.274964)
19005_2000_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,331837,Thousands of dollars,12/31/2000,POINT (-91.382751 43.274964)
19005_2001_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,341154,Thousands of dollars,12/31/2001,POINT (-91.382751 43.274964)
19005_2002_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,349646,Thousands of dollars,12/31/2002,POINT (-91.382751 43.274964)
19005_2003_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,356611,Thousands of dollars,12/31/2003,POINT (-91.382751 43.274964)
19005_2004_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,383702,Thousands of dollars,12/31/2004,POINT (-91.382751 43.274964)
19005_2005_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,399184,Thousands of dollars,12/31/2005,POINT (-91.382751 43.274964)
19005_2006_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,416080,Thousands of dollars,12/31/2006,POINT (-91.382751 43.274964)
19005_2007_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,437465,Thousands of dollars,12/31/2007,POINT (-91.382751 43.274964)
19005_2008_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,458799,Thousands of dollars,12/31/2008,POINT (-91.382751 43.274964)
19005_2009_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,446287,Thousands of dollars,12/31/2009,POINT (-91.382751 43.274964)
19005_2010_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,492181,Thousands of dollars,12/31/2010,POINT (-91.382751 43.274964)
19005_2011_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,538311,Thousands of dollars,12/31/2011,POINT (-91.382751 43.274964)
19005_2012_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,549100,Thousands of dollars,12/31/2012,POINT (-91.382751 43.274964)
19005_2013_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,576703,Thousands of dollars,12/31/2013,POINT (-91.382751 43.274964)
19005_2014_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,589999,Thousands of dollars,12/31/2014,POINT (-91.382751 43.274964)
19005_2015_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,609636,Thousands of dollars,12/31/2015,POINT (-91.382751 43.274964)
19005_2016_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,598486,Thousands of dollars,12/31/2016,POINT (-91.382751 43.274964)
19005_2017_CAINC1-1_annual,19005,"Allamakee, IA",CAINC1-1,Personal income,600694,Thousands of dollars,12/31/2017,POINT (-91.382751 43.274964)
19007_1997_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,251601,Thousands of dollars,12/31/1997,POINT (-92.873061 40.744296)
19007_1998_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,264834,Thousands of dollars,12/31/1998,POINT (-92.873061 40.744296)
19007_1999_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,270990,Thousands of dollars,12/31/1999,POINT (-92.873061 40.744296)
19007_2000_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,287392,Thousands of dollars,12/31/2000,POINT (-92.873061 40.744296)
19007_2001_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,289685,Thousands of dollars,12/31/2001,POINT (-92.873061 40.744296)
19007_2002_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,299338,Thousands of dollars,12/31/2002,POINT (-92.873061 40.744296)
19007_2003_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,306981,Thousands of dollars,12/31/2003,POINT (-92.873061 40.744296)
19007_2004_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,329387,Thousands of dollars,12/31/2004,POINT (-92.873061 40.744296)
19007_2005_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,327843,Thousands of dollars,12/31/2005,POINT (-92.873061 40.744296)
19007_2006_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,343277,Thousands of dollars,12/31/2006,POINT (-92.873061 40.744296)
19007_2007_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,349028,Thousands of dollars,12/31/2007,POINT (-92.873061 40.744296)
19007_2008_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,373526,Thousands of dollars,12/31/2008,POINT (-92.873061 40.744296)
19007_2009_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,378978,Thousands of dollars,12/31/2009,POINT (-92.873061 40.744296)
19007_2010_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,382670,Thousands of dollars,12/31/2010,POINT (-92.873061 40.744296)
19007_2011_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,402330,Thousands of dollars,12/31/2011,POINT (-92.873061 40.744296)
19007_2012_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,412565,Thousands of dollars,12/31/2012,POINT (-92.873061 40.744296)
19007_2013_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,420244,Thousands of dollars,12/31/2013,POINT (-92.873061 40.744296)
19007_2014_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,422069,Thousands of dollars,12/31/2014,POINT (-92.873061 40.744296)
19007_2015_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,441128,Thousands of dollars,12/31/2015,POINT (-92.873061 40.744296)
19007_2016_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,444155,Thousands of dollars,12/31/2016,POINT (-92.873061 40.744296)
19007_2017_CAINC1-1_annual,19007,"Appanoose, IA",CAINC1-1,Personal income,453220,Thousands of dollars,12/31/2017,POINT (-92.873061 40.744296)
19009_1997_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,163410,Thousands of dollars,12/31/1997,POINT (-94.904312 41.679178)
19009_1998_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,156488,Thousands of dollars,12/31/1998,POINT (-94.904312 41.679178)
19009_1999_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,152352,Thousands of dollars,12/31/1999,POINT (-94.904312 41.679178)
19009_2000_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,173146,Thousands of dollars,12/31/2000,POINT (-94.904312 41.679178)
19009_2001_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,171014,Thousands of dollars,12/31/2001,POINT (-94.904312 41.679178)
19009_2002_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,176638,Thousands of dollars,12/31/2002,POINT (-94.904312 41.679178)
19009_2003_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,175276,Thousands of dollars,12/31/2003,POINT (-94.904312 41.679178)
19009_2004_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,214497,Thousands of dollars,12/31/2004,POINT (-94.904312 41.679178)
19009_2005_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,207806,Thousands of dollars,12/31/2005,POINT (-94.904312 41.679178)
19009_2006_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,212414,Thousands of dollars,12/31/2006,POINT (-94.904312 41.679178)
19009_2007_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,227278,Thousands of dollars,12/31/2007,POINT (-94.904312 41.679178)
19009_2008_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,250576,Thousands of dollars,12/31/2008,POINT (-94.904312 41.679178)
19009_2009_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,228676,Thousands of dollars,12/31/2009,POINT (-94.904312 41.679178)
19009_2010_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,241204,Thousands of dollars,12/31/2010,POINT (-94.904312 41.679178)
19009_2011_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,292817,Thousands of dollars,12/31/2011,POINT (-94.904312 41.679178)
19009_2012_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,268833,Thousands of dollars,12/31/2012,POINT (-94.904312 41.679178)
19009_2013_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,301267,Thousands of dollars,12/31/2013,POINT (-94.904312 41.679178)
19009_2014_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,270501,Thousands of dollars,12/31/2014,POINT (-94.904312 41.679178)
19009_2015_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,252422,Thousands of dollars,12/31/2015,POINT (-94.904312 41.679178)
19009_2016_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,241973,Thousands of dollars,12/31/2016,POINT (-94.904312 41.679178)
19009_2017_CAINC1-1_annual,19009,"Audubon, IA",CAINC1-1,Personal income,250951,Thousands of dollars,12/31/2017,POINT (-94.904312 41.679178)
19011_1997_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,565073,Thousands of dollars,12/31/1997,POINT (-92.05763 42.092547)
19011_1998_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,591204,Thousands of dollars,12/31/1998,POINT (-92.05763 42.092547)
19011_1999_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,610429,Thousands of dollars,12/31/1999,POINT (-92.05763 42.092547)
19011_2000_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,684100,Thousands of dollars,12/31/2000,POINT (-92.05763 42.092547)
19011_2001_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,701702,Thousands of dollars,12/31/2001,POINT (-92.05763 42.092547)
19011_2002_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,713473,Thousands of dollars,12/31/2002,POINT (-92.05763 42.092547)
19011_2003_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,714184,Thousands of dollars,12/31/2003,POINT (-92.05763 42.092547)
19011_2004_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,781261,Thousands of dollars,12/31/2004,POINT (-92.05763 42.092547)
19011_2005_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,793817,Thousands of dollars,12/31/2005,POINT (-92.05763 42.092547)
19011_2006_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,832872,Thousands of dollars,12/31/2006,POINT (-92.05763 42.092547)
19011_2007_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,918904,Thousands of dollars,12/31/2007,POINT (-92.05763 42.092547)
19011_2008_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1006082,Thousands of dollars,12/31/2008,POINT (-92.05763 42.092547)
19011_2009_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1011300,Thousands of dollars,12/31/2009,POINT (-92.05763 42.092547)
19011_2010_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1051186,Thousands of dollars,12/31/2010,POINT (-92.05763 42.092547)
19011_2011_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1115005,Thousands of dollars,12/31/2011,POINT (-92.05763 42.092547)
19011_2012_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1153973,Thousands of dollars,12/31/2012,POINT (-92.05763 42.092547)
19011_2013_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1193195,Thousands of dollars,12/31/2013,POINT (-92.05763 42.092547)
19011_2014_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1218702,Thousands of dollars,12/31/2014,POINT (-92.05763 42.092547)
19011_2015_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1236302,Thousands of dollars,12/31/2015,POINT (-92.05763 42.092547)
19011_2016_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1245919,Thousands of dollars,12/31/2016,POINT (-92.05763 42.092547)
19011_2017_CAINC1-1_annual,19011,"Benton, IA",CAINC1-1,Personal income,1296648,Thousands of dollars,12/31/2017,POINT (-92.05763 42.092547)
19013_1997_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,2874210,Thousands of dollars,12/31/1997,POINT (-92.308033 42.471541)
19013_1998_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3001660,Thousands of dollars,12/31/1998,POINT (-92.308033 42.471541)
19013_1999_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3012397,Thousands of dollars,12/31/1999,POINT (-92.308033 42.471541)
19013_2000_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3203999,Thousands of dollars,12/31/2000,POINT (-92.308033 42.471541)
19013_2001_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3271143,Thousands of dollars,12/31/2001,POINT (-92.308033 42.471541)
19013_2002_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3413191,Thousands of dollars,12/31/2002,POINT (-92.308033 42.471541)
19013_2003_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3481686,Thousands of dollars,12/31/2003,POINT (-92.308033 42.471541)
19013_2004_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3698752,Thousands of dollars,12/31/2004,POINT (-92.308033 42.471541)
19013_2005_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,3816024,Thousands of dollars,12/31/2005,POINT (-92.308033 42.471541)
19013_2006_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,4026116,Thousands of dollars,12/31/2006,POINT (-92.308033 42.471541)
19013_2007_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,4251716,Thousands of dollars,12/31/2007,POINT (-92.308033 42.471541)
19013_2008_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,4482214,Thousands of dollars,12/31/2008,POINT (-92.308033 42.471541)
19013_2009_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,4482059,Thousands of dollars,12/31/2009,POINT (-92.308033 42.471541)
19013_2010_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,4579952,Thousands of dollars,12/31/2010,POINT (-92.308033 42.471541)
19013_2011_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,4884403,Thousands of dollars,12/31/2011,POINT (-92.308033 42.471541)
19013_2012_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,5123090,Thousands of dollars,12/31/2012,POINT (-92.308033 42.471541)
19013_2013_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,5117853,Thousands of dollars,12/31/2013,POINT (-92.308033 42.471541)
19013_2014_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,5320547,Thousands of dollars,12/31/2014,POINT (-92.308033 42.471541)
19013_2015_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,5437265,Thousands of dollars,12/31/2015,POINT (-92.308033 42.471541)
19013_2016_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,5457086,Thousands of dollars,12/31/2016,POINT (-92.308033 42.471541)
19013_2017_CAINC1-1_annual,19013,"Black Hawk, IA",CAINC1-1,Personal income,5590464,Thousands of dollars,12/31/2017,POINT (-92.308033 42.471541)
19015_1997_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,643541,Thousands of dollars,12/31/1997,POINT (-93.938358 42.038642)
19015_1998_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,663747,Thousands of dollars,12/31/1998,POINT (-93.938358 42.038642)
19015_1999_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,678740,Thousands of dollars,12/31/1999,POINT (-93.938358 42.038642)
19015_2000_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,736348,Thousands of dollars,12/31/2000,POINT (-93.938358 42.038642)
19015_2001_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,752630,Thousands of dollars,12/31/2001,POINT (-93.938358 42.038642)
19015_2002_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,786608,Thousands of dollars,12/31/2002,POINT (-93.938358 42.038642)
19015_2003_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,816520,Thousands of dollars,12/31/2003,POINT (-93.938358 42.038642)
19015_2004_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,869531,Thousands of dollars,12/31/2004,POINT (-93.938358 42.038642)
19015_2005_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,877717,Thousands of dollars,12/31/2005,POINT (-93.938358 42.038642)
19015_2006_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,948168,Thousands of dollars,12/31/2006,POINT (-93.938358 42.038642)
19015_2007_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,990165,Thousands of dollars,12/31/2007,POINT (-93.938358 42.038642)
19015_2008_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1018044,Thousands of dollars,12/31/2008,POINT (-93.938358 42.038642)
19015_2009_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1029489,Thousands of dollars,12/31/2009,POINT (-93.938358 42.038642)
19015_2010_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1021539,Thousands of dollars,12/31/2010,POINT (-93.938358 42.038642)
19015_2011_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1108199,Thousands of dollars,12/31/2011,POINT (-93.938358 42.038642)
19015_2012_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1140972,Thousands of dollars,12/31/2012,POINT (-93.938358 42.038642)
19015_2013_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1165815,Thousands of dollars,12/31/2013,POINT (-93.938358 42.038642)
19015_2014_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1184276,Thousands of dollars,12/31/2014,POINT (-93.938358 42.038642)
19015_2015_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1188172,Thousands of dollars,12/31/2015,POINT (-93.938358 42.038642)
19015_2016_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1190778,Thousands of dollars,12/31/2016,POINT (-93.938358 42.038642)
19015_2017_CAINC1-1_annual,19015,"Boone, IA",CAINC1-1,Personal income,1224852,Thousands of dollars,12/31/2017,POINT (-93.938358 42.038642)
19017_1997_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,563147,Thousands of dollars,12/31/1997,POINT (-92.327356 42.780895)
19017_1998_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,573578,Thousands of dollars,12/31/1998,POINT (-92.327356 42.780895)
19017_1999_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,568697,Thousands of dollars,12/31/1999,POINT (-92.327356 42.780895)
19017_2000_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,615431,Thousands of dollars,12/31/2000,POINT (-92.327356 42.780895)
19017_2001_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,635744,Thousands of dollars,12/31/2001,POINT (-92.327356 42.780895)
19017_2002_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,647613,Thousands of dollars,12/31/2002,POINT (-92.327356 42.780895)
19017_2003_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,646926,Thousands of dollars,12/31/2003,POINT (-92.327356 42.780895)
19017_2004_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,729278,Thousands of dollars,12/31/2004,POINT (-92.327356 42.780895)
19017_2005_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,754823,Thousands of dollars,12/31/2005,POINT (-92.327356 42.780895)
19017_2006_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,792707,Thousands of dollars,12/31/2006,POINT (-92.327356 42.780895)
19017_2007_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,850666,Thousands of dollars,12/31/2007,POINT (-92.327356 42.780895)
19017_2008_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,894963,Thousands of dollars,12/31/2008,POINT (-92.327356 42.780895)
19017_2009_CAINC1-1_annual,19017,"Bremer, IA",CAINC1-1,Personal income,884220,Thousands of dollars,12/31/2009,POINT (-92.327356 42.780895)
